shapeid,id,from_lane,to_lane,group_id,max_speed,tags
439,439,11139100,3887600,,56.0,
325,325,11139100,14135600,,48.0,
437,437,11139100,13862400,,56.0,
379,379,11140400,3888900,,56.0,
341,341,11918000,4666500,,60.0,
339,339,11927200,13706700,,48.0,
342,342,11927200,14135200,,48.0,
364,364,11927200,6884200,,48.0,
329,329,11927200,4675700,,48.0,
412,412,13354200,6102700,,40.0,
346,346,13354200,13353600,,40.0,
450,450,13354200,16390100,,40.0,
328,328,13354200,16205701,,40.0,
372,372,13592900,13328500,,48.0,
349,349,13592900,16376100,,56.0,
355,355,13592900,6341400,,56.0,
394,394,13592900,16184301,,56.0,
356,356,13705300,6453800,,48.0,
404,404,13705900,6883300,,45.0,
368,368,13705900,11927400,,60.0,
419,419,13705900,6454400,,60.0,
400,400,13705900,14097800,,48.0,
403,403,13706500,6455000,,48.0,
388,388,13852000,16202701,,32.0,
480,480,13852000,6600500,,32.0,
365,365,13852000,16376300,,32.0,
386,386,13862600,6611100,,56.0,
425,425,13862600,6620800,,48.0,
327,327,13862600,13862200,,56.0,
361,361,13868100,6617000,,40.0,
335,335,13868100,13868700,,45.0,
492,492,13868100,14134600,,45.0,
423,423,13868100,6616600,,45.0,
421,421,13868500,6616600,,40.0,
479,479,13868500,13868700,,40.0,
434,434,13868500,14134600,,40.0,
446,446,13868500,6617000,,40.0,
494,494,13868800,11139300,,45.0,
489,489,13868800,6617300,,45.0,
393,393,13868800,6618100,,45.0,
418,418,13869200,6617700,,45.0,
324,324,13869200,16412800,,45.0,
390,390,13869200,13869500,,45.0,
452,452,13869600,6618100,,45.0,
482,482,13869600,11139300,,45.0,
429,429,13869600,6617300,,45.0,
323,323,13872300,6620800,,48.0,
347,347,13872300,13862200,,48.0,
406,406,13872300,6611100,,48.0,
432,432,14134700,6883200,,45.0,
363,363,14134700,14134900,,45.0,
350,350,14134700,11927000,,45.0,
426,426,14134800,6454400,,45.0,
413,413,14134800,14097800,,45.0,
378,378,14134800,11927400,,45.0,
483,483,14134800,6883300,,45.0,
354,354,14135100,6883600,,48.0,
461,461,14135100,14136100,,48.0,
411,411,14135700,4675700,,48.0,
491,491,14135700,13706700,,48.0,
486,486,14135700,14135200,,48.0,
348,348,14135700,6884200,,48.0,
462,462,14136000,6884500,,48.0,
330,330,16188400,13592900,,56.0,
416,416,16188400,16188900,,56.0,
458,458,16188401,16376001,,56.0,
345,345,16188401,16188901,,56.0,
431,431,16188500,13328500,,48.0,
398,398,16188500,16184300,,56.0,
409,409,16188501,16376101,,56.0,
336,336,16188501,16184301,,56.0,
414,414,16188501,6341400,,56.0,
366,366,16188700,16202700,,56.0,
465,465,16188701,16202701,,56.0,
484,484,16188701,16376301,,56.0,
359,359,16188701,6600500,,32.0,
468,468,16202500,13353600,,45.0,
382,382,16202500,16205700,,56.0,
443,443,16202501,16390101,,56.0,
417,417,16202501,6102700,,40.0,
322,322,16202501,16205701,,56.0,
415,415,16225200,13869500,,56.0,
360,360,16225200,6617700,,45.0,
380,380,16225201,16412801,,56.0,
453,453,16236800,16188500,,56.0,
385,385,16236800,16188400,,56.0,
375,375,16236801,16424401,,89.0,
371,371,16236801,16188401,,56.0,
326,326,16371900,16376100,,56.0,
391,391,16371900,6341400,,56.0,
428,428,16371901,13328500,,48.0,
463,463,16371901,16376101,,56.0,
454,454,16371901,16184301,,56.0,
362,362,16376000,16188500,,56.0,
420,420,16376000,16424400,,56.0,
459,459,16376001,16188501,,56.0,
467,467,16376001,16188401,,56.0,
473,473,16376100,16188400,,56.0,
389,389,16376100,16424400,,56.0,
395,395,16376101,16424401,,56.0,
358,358,16376101,16188501,,56.0,
440,440,16376500,16376000,,56.0,
392,392,16376501,16376001,,56.0,
357,357,16376501,13592900,,56.0,
456,456,16376501,16188901,,56.0,
466,466,16390300,6600500,,32.0,
485,485,16390301,16376301,,56.0,
470,470,16390301,16202701,,56.0,
332,332,16424400,16236800,,89.0,
405,405,16424401,16236801,,89.0,
438,438,3887800,6618100,,45.0,
397,397,3887800,11139300,,56.0,
457,457,3887800,6617300,,45.0,
447,447,4675500,11927000,,48.0,
422,422,4675500,14134900,,45.0,
472,472,4675500,6883200,,45.0,
430,430,4675900,6883300,,45.0,
455,455,4675900,11927400,,60.0,
442,442,4675900,6454400,,60.0,
477,477,4675900,14097800,,48.0,
490,490,4750500,12002000,,40.0,
474,474,6077000,16184300,,48.0,
436,436,6077000,16376101,,48.0,
337,337,6077000,13328500,,48.0,
401,401,6077000,6341400,,48.0,
381,381,6102100,16205700,,45.0,
408,408,6102100,13353600,,45.0,
338,338,6102100,6102700,,40.0,
476,476,6102100,16390101,,45.0,
488,488,6102700,13354200,,40.0,
352,352,6341400,13592900,,56.0,
331,331,6341400,16376001,,56.0,
377,377,6341400,16188900,,56.0,
424,424,6455200,4675700,,48.0,
464,464,6455200,6884200,,48.0,
451,451,6455200,13706700,,48.0,
402,402,6455200,14135200,,48.0,
384,384,6600500,13852000,,32.0,
353,353,6610700,6620800,,48.0,
343,343,6610700,6611100,,56.0,
478,478,6610700,13862200,,56.0,
370,370,6610900,13862400,,56.0,
441,441,6610900,14135600,,48.0,
493,493,6610900,3887600,,56.0,
334,334,6617200,6616600,,45.0,
340,340,6617200,6617000,,40.0,
449,449,6617200,14134600,,45.0,
475,475,6617200,13868700,,56.0,
444,444,6618000,13869500,,56.0,
433,433,6618000,6617700,,45.0,
481,481,6618000,16412801,,56.0,
383,383,6846300,14097800,,48.0,
373,373,6846300,6883300,,45.0,
410,410,6846300,6454400,,48.0,
376,376,6846300,11927400,,48.0,
396,396,6851600,14103100,,60.0,
333,333,6883100,6616600,,45.0,
367,367,6883100,13868700,,45.0,
407,407,6883100,6617000,,40.0,
374,374,6883100,14134600,,45.0,
387,387,6883400,14134900,,45.0,
369,369,6883400,6883200,,45.0,
469,469,6883400,11927000,,45.0,
351,351,6883700,6884200,,48.0,
471,471,6883700,14135200,,48.0,
460,460,6883700,4675700,,48.0,
487,487,6883700,13706700,,48.0,
445,445,6884100,13862400,,48.0,
344,344,6884100,14135600,,48.0,
448,448,6884100,3887600,,48.0,
399,399,6884600,14136100,,48.0,
435,435,6884600,6883600,,48.0,
427,427,6981100,14232600,,45.0,
