id,width,vehicle_mode,bus_lane,can_stop,can_park,high_occ_veh,has_road_shoulder,segment,tags
100,3.5,,0,0,0,0,0,1,
101,3.5,,0,0,0,0,0,1,
200,3.5,,0,0,0,0,0,2,
201,3.5,,0,0,0,0,0,2,
300,3.5,,0,0,0,0,0,3,
301,3.5,,0,0,0,0,0,3,
400,3.5,,0,0,0,0,0,4,
401,3.5,,0,0,0,0,0,4,
500,3.5,,0,0,0,0,0,5,
501,3.5,,0,0,0,0,0,5,
600,3.5,,0,0,0,0,0,6,
601,3.5,,0,0,0,0,0,6,
700,3.5,,0,0,0,0,0,7,
701,3.5,,0,0,0,0,0,7,
800,3.5,,0,0,0,0,0,8,
801,3.5,,0,0,0,0,0,8,
900,3.5,,0,0,0,0,0,9,
901,3.5,,0,0,0,0,0,9,
1000,3.5,,0,0,0,0,0,10,
1001,3.5,,0,0,0,0,0,10,
1100,3.5,,0,0,0,0,0,11,
1101,3.5,,0,0,0,0,0,11,
1200,3.5,,0,0,0,0,0,12,
1201,3.5,,0,0,0,0,0,12,
1300,3.5,,0,0,0,0,0,13,
1301,3.5,,0,0,0,0,0,13,
1400,3.5,,0,0,0,0,0,14,
1401,3.5,,0,0,0,0,0,14,
1500,3.5,,0,0,0,0,0,15,
1501,3.5,,0,0,0,0,0,15,
1600,3.5,,0,0,0,0,0,16,
1601,3.5,,0,0,0,0,0,16,
