id,x,y,z,seq_id
59,-72.024636815469577,40.875549711995333,0,1
59,-72.278558881826427,43.660684522998665,0,2
57,-72.024636815469577,40.875549711995333,0,1
57,-72.007584659716699,40.86513130113206,0,2
60,-72.024636815469577,40.875549711995333,0,1
60,-69.929292630873789,41.066277445816112,0,2
58,-72.024636815469577,40.875549711995333,0,1
58,-70.199431283598514,43.861893114895786,0,2
61,-70.183294600342194,43.852034021846436,0,1
61,-72.007584659716699,40.86513130113206,0,2
63,-70.183294600342194,43.852034021846436,0,1
63,-72.278558881826427,43.660684522998665,0,2
62,-70.183294600342194,43.852034021846436,0,1
62,-70.199431283598514,43.861893114895786,0,2
64,-70.183294600342194,43.852034021846436,0,1
64,-69.929292630873789,41.066277445816112,0,2
52,-72.289200428778599,43.650965605597492,0,1
52,-69.929292630873789,41.066277445816112,0,2
49,-72.289200428778599,43.650965605597492,0,1
49,-72.007584659716699,40.86513130113206,0,2
51,-72.289200428778599,43.650965605597492,0,1
51,-72.278558881826427,43.660684522998665,0,2
50,-72.289200428778599,43.650965605597492,0,1
50,-70.199431283598514,43.861893114895786,0,2
53,-69.917903922790202,41.076678737222636,0,1
53,-72.007584659716699,40.86513130113206,0,2
56,-69.917903922790202,41.076678737222636,0,1
56,-69.929292630873789,41.066277445816112,0,2
54,-69.917903922790202,41.076678737222636,0,1
54,-70.199431283598514,43.861893114895786,0,2
55,-69.917903922790202,41.076678737222636,0,1
55,-72.278558881826427,43.660684522998665,0,2
