station_no,platform_first,platform_second,transfered_time_sec
A1,A1_1,A1_2,0
A1,A1_2,A1_1,0
A10,A10_1,A10_2,0
A10,A10_2,A10_1,0
A11,A11_1,A11_2,0
A11,A11_2,A11_1,0
A12,A12_1,A12_2,0
A12,A12_2,A12_1,0
A13,A13_1,A13_2,0
A13,A13_2,A13_1,0
A14,A14_1,A14_2,0
A14,A14_2,A14_1,0
A2,A2_1,A2_2,0
A2,A2_2,A2_1,0
A3,A3_1,A3_2,0
A3,A3_2,A3_1,0
A4,A4_1,A4_2,0
A4,A4_2,A4_1,0
A5,A5_1,A5_2,0
A5,A5_2,A5_1,0
A6,A6_1,A6_2,0
A6,A6_2,A6_1,0
A7,A7_1,A7_2,0
A7,A7_2,A7_1,0
A8,A8_1,A8_2,0
A8,A8_2,A8_1,0
A9,A9_1,A9_2,0
A9,A9_2,A9_1,0
B1,B1_1,B1_2,0
B1,B1_2,B1_1,0
B10,B10_1,B10_2,0
B10,B10_2,B10_1,0
B11,B11_1,B11_2,0
B11,B11_2,B11_1,0
B12,B12_1,B12_2,0
B12,B12_2,B12_1,0
B13,B13_1,B13_2,0
B13,B13_2,B13_1,0
B14,B14_1,B14_2,0
B14,B14_2,B14_1,0
B15,B15_1,B15_2,0
B15,B15_2,B15_1,0
B16,B16_1,B16_2,0
B16,B16_2,B16_1,0
B17,B17_1,B17_2,0
B17,B17_2,B17_1,0
B18,B18_1,B18_2,0
B18,B18_2,B18_1,0
B19,B19_1,B19_2,0
B19,B19_2,B19_1,0
B2,B2_1,B2_2,0
B2,B2_2,B2_1,0
B20,B20_1,B20_2,0
B20,B20_2,B20_1,0
B21,B21_1,B21_2,0
B21,B21_2,B21_1,0
B22,B22_1,B22_2,0
B22,B22_2,B22_1,0
B23,B23_1,B23_2,0
B23,B23_2,B23_1,0
B24,B24_1,B24_2,0
B24,B24_2,B24_1,0
B25,B25_1,B25_2,0
B25,B25_2,B25_1,0
B26,B26_1,B26_2,0
B26,B26_2,B26_1,0
B27,B27_1,B27_2,0
B27,B27_2,B27_1,0
B28,B28_1,B28_2,0
B28,B28_2,B28_1,0
B29,B29_1,B29_2,0
B29,B29_2,B29_1,0
B3,B3_1,B3_2,0
B3,B3_2,B3_1,0
B30,B30_1,B30_2,0
B30,B30_2,B30_1,0
B31,B31_1,B31_2,0
B31,B31_2,B31_1,0
B4,B4_1,B4_2,0
B4,B4_2,B4_1,0
B5,B5_1,B5_2,0
B5,B5_2,B5_1,0
B6,B6_1,B6_2,0
B6,B6_2,B6_1,0
B7,B7_1,B7_2,0
B7,B7_2,B7_1,0
B8,B8_1,B8_2,0
B8,B8_2,B8_1,0
B9,B9_1,B9_2,0
B9,B9_2,B9_1,0
C1/D1/F1,C1_1,C1_2,0
C1/D1/F1,C1_2,C1_1,0
C1/D1/F1,C1_1,D1_1,60
C1/D1/F1,D1_1,C1_1,60
C1/D1/F1,C1_1,D1_2,60
C1/D1/F1,D1_2,C1_1,60
C1/D1/F1,C1_1,F1_1,60
C1/D1/F1,F1_1,C1_1,60
C1/D1/F1,C1_1,F1_2,60
C1/D1/F1,F1_2,C1_1,60
C1/D1/F1,C1_2,D1_1,60
C1/D1/F1,D1_1,C1_2,60
C1/D1/F1,C1_2,D1_2,60
C1/D1/F1,D1_2,C1_2,60
C1/D1/F1,C1_2,F1_1,60
C1/D1/F1,F1_1,C1_2,60
C1/D1/F1,C1_2,F1_2,60
C1/D1/F1,F1_2,C1_2,60
C1/D1/F1,D1_1,D1_2,0
C1/D1/F1,D1_2,D1_1,0
C1/D1/F1,D1_1,F1_1,60
C1/D1/F1,F1_1,D1_1,60
C1/D1/F1,D1_1,F1_2,60
C1/D1/F1,F1_2,D1_1,60
C1/D1/F1,D1_2,F1_1,60
C1/D1/F1,F1_1,D1_2,60
C1/D1/F1,D1_2,F1_2,60
C1/D1/F1,F1_2,D1_2,60
C1/D1/F1,F1_1,F1_2,0
C1/D1/F1,F1_2,F1_1,0
C10,C10_1,C10_2,0
C10,C10_2,C10_1,0
C11,C11_1,C11_2,0
C11,C11_2,C11_1,0
C12,C12_1,C12_2,0
C12,C12_2,C12_1,0
C13,C13_1,C13_2,0
C13,C13_2,C13_1,0
C2,C2_1,C2_2,0
C2,C2_2,C2_1,0
C3,C3_1,C3_2,0
C3,C3_2,C3_1,0
C4,C4_1,C4_2,0
C4,C4_2,C4_1,0
C5,C5_1,C5_2,0
C5,C5_2,C5_1,0
C6,C6_1,C6_2,0
C6,C6_2,C6_1,0
C7,C7_1,C7_2,0
C7,C7_2,C7_1,0
C8,C8_1,C8_2,0
C8,C8_2,C8_1,0
C9,C9_1,C9_2,0
C9,C9_2,C9_1,0
D10,D10_1,D10_2,0
D10,D10_2,D10_1,0
D11,D11_1,D11_2,0
D11,D11_2,D11_1,0
D12,D12_1,D12_2,0
D12,D12_2,D12_1,0
D13,D13_1,D13_2,0
D13,D13_2,D13_1,0
D2,D2_1,D2_2,0
D2,D2_2,D2_1,0
D3,D3_1,D3_2,0
D3,D3_2,D3_1,0
D4,D4_1,D4_2,0
D4,D4_2,D4_1,0
D5,D5_1,D5_2,0
D5,D5_2,D5_1,0
D6,D6_1,D6_2,0
D6,D6_2,D6_1,0
D7,D7_1,D7_2,0
D7,D7_2,D7_1,0
D8,D8_1,D8_2,0
D8,D8_2,D8_1,0
D9,D9_1,D9_2,0
D9,D9_2,D9_1,0
F2,F2_1,F2_2,0
F2,F2_2,F2_1,0
F3,F3_1,F3_2,0
F3,F3_2,F3_1,0
F4,F4_1,F4_2,0
F4,F4_2,F4_1,0
F5,F5_1,F5_2,0
F5,F5_2,F5_1,0
F6,F6_1,F6_2,0
F6,F6_2,F6_1,0
F7,F7_1,F7_2,0
F7,F7_2,F7_1,0
